edad,grupo_etario,interes,canal_info,conexion,cluster
33,Millenials (26-35),"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)","• Sí, me gustaría participar",1.0,2
31,Millenials (26-35),"• Eventos sociales (Cenas, música en directo, debates), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Solo para recibir información puntual,3.0,0
28,Millenials (26-35),"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• No me interesa,1.0,2
24,Gen Z (18-25),"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)","• Sí, me gustaría participar",1.0,2
34,Millenials (26-35),"• Voluntariado activo (Ayuda directa a gente del pueblo), • Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)","• Sí, me gustaría participar",4.0,1
31,Millenials (26-35),"• Eventos sociales (Cenas, música en directo, debates)",• No me interesa,5.0,0
33,Millenials (26-35),"• Voluntariado activo (Ayuda directa a gente del pueblo), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Solo para recibir información puntual,3.0,2
30,Millenials (26-35),"• Voluntariado activo (Ayuda directa a gente del pueblo), • Eventos sociales (Cenas, música en directo, debates)",• No me interesa,1.0,0
35,Millenials (26-35),"• Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)","• Sí, me gustaría participar",3.0,1
35,Millenials (26-35),"• Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)","• Sí, me gustaría participar",3.0,1
33,Millenials (26-35),"• Voluntariado activo (Ayuda directa a gente del pueblo), • Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés)","• Sí, me gustaría participar",5.0,1
34,Millenials (26-35),• Voluntariado activo (Ayuda directa a gente del pueblo),"• Sí, me gustaría participar",4.0,2
35,Millenials (26-35),"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• No me interesa,1.0,2
34,Millenials (26-35),"• Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés)","• Sí, me gustaría participar",4.0,1
28,Millenials (26-35),• Voluntariado activo (Ayuda directa a gente del pueblo),"• Sí, me gustaría participar",1.0,2
